epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,3.373103380203247,,,,,
0,99,,1.8761529922485352,,,,,
0,149,,2.081664562225342,,,,,
0,199,,3.1368088722229004,,,,,
0,249,,2.5354080200195312,,,,,
0,299,,2.871375322341919,,,,,
0,349,,3.0404510498046875,,,,,
0,399,,3.0945839881896973,,,,,
0,449,,1.8274627923965454,,,,,
0,499,,2.301110029220581,,,,,
0,549,,3.120431661605835,,,,,
0,599,,3.088852643966675,,,,,
0,649,,2.6750054359436035,,,,,
0,699,,2.1503334045410156,,,,,
0,749,,2.3835043907165527,,,,,
0,799,,2.6904661655426025,,,,,
0,849,,2.3721108436584473,,,,,
0,899,,2.210875988006592,,,,,
0,949,,2.9455389976501465,,,,,
0,999,,2.5237057209014893,,,,,
0,1049,,1.6039063930511475,,,,,
0,1099,,3.1064794063568115,,,,,
0,1149,,2.0152173042297363,,,,,
0,1199,,1.9332818984985352,,,,,
0,1249,,2.1084702014923096,,,,,
0,1299,,3.9753804206848145,,,,,
0,1349,,2.2060441970825195,,,,,
0,1399,,2.5894782543182373,,,,,
0,1449,,2.0750393867492676,,,,,
0,1499,,2.363477945327759,,,,,
0,1549,,2.4508469104766846,,,,,
0,1599,,2.4769210815429688,,,,,
0,1649,,1.555103063583374,,,,,
0,1699,,3.121731758117676,,,,,
0,1749,,2.782456398010254,,,,,
0,1799,,2.9187474250793457,,,,,
0,1849,,3.348310947418213,,,,,
0,1899,,3.499114513397217,,,,,
0,1949,,1.746056318283081,,,,,
0,1999,,2.4231374263763428,,,,,
0,2049,,2.0405824184417725,,,,,
0,2099,,3.1790990829467773,,,,,
0,2149,,2.324815273284912,,,,,
0,2199,,3.0370450019836426,,,,,
0,2249,,3.972820997238159,,,,,
0,2299,,1.7664296627044678,,,,,
0,2349,,1.8559048175811768,,,,,
0,2399,,2.084624767303467,,,,,
0,2449,,3.124295711517334,,,,,
0,2499,,2.265676975250244,,,,,
0,2549,,2.34704852104187,,,,,
0,2599,,2.194791078567505,,,,,
0,2649,,2.3445467948913574,,,,,
0,2699,,4.0920233726501465,,,,,
0,2749,,2.9496870040893555,,,,,
0,2799,,2.883016347885132,,,,,
0,2849,,7.044562339782715,,,,,
0,2899,,2.1834731101989746,,,,,
0,2949,,2.2341842651367188,,,,,
0,2999,,3.5096070766448975,,,,,
0,3049,,1.854784607887268,,,,,
0,3099,,1.5075172185897827,,,,,
0,3149,,1.660578966140747,,,,,
0,3199,,2.1324164867401123,,,,,
0,3249,,2.094137191772461,,,,,
0,3299,,2.1751179695129395,,,,,
0,3349,,2.8658435344696045,,,,,
0,3399,,2.9881362915039062,,,,,
0,3449,,2.965944766998291,,,,,
0,3499,,2.412980079650879,,,,,
0,3549,,3.2735068798065186,,,,,
0,3599,,3.8029847145080566,,,,,
0,3649,,2.485391139984131,,,,,
0,3699,,2.795781135559082,,,,,
0,3749,,1.9725596904754639,,,,,
0,3799,,2.494049310684204,,,,,
0,3833,,,11.562209129333496,0.04637713357806206,24.249290466308594,0.0473095066845417,6.665878772735596
0,3833,2.616957902908325,,,,,,
1,3849,,2.168792724609375,,,,,
1,3899,,1.8124616146087646,,,,,
1,3949,,2.0431792736053467,,,,,
1,3999,,2.2627265453338623,,,,,
1,4049,,2.3366706371307373,,,,,
1,4099,,1.8703782558441162,,,,,
1,4149,,1.958284616470337,,,,,
1,4199,,1.9570955038070679,,,,,
1,4249,,2.205998182296753,,,,,
1,4299,,1.8035991191864014,,,,,
1,4349,,3.4747426509857178,,,,,
1,4399,,2.503405809402466,,,,,
1,4449,,2.7315378189086914,,,,,
1,4499,,2.2732574939727783,,,,,
1,4549,,1.8824418783187866,,,,,
1,4599,,2.0801661014556885,,,,,
1,4649,,2.0020906925201416,,,,,
1,4699,,2.761547803878784,,,,,
1,4749,,1.852020263671875,,,,,
1,4799,,4.522988796234131,,,,,
1,4849,,2.392681837081909,,,,,
1,4899,,2.5057849884033203,,,,,
1,4949,,2.4079458713531494,,,,,
1,4999,,1.5328761339187622,,,,,
1,5049,,2.3612024784088135,,,,,
1,5099,,2.2446701526641846,,,,,
1,5149,,4.00106954574585,,,,,
1,5199,,2.030719757080078,,,,,
1,5249,,1.8872684240341187,,,,,
1,5299,,2.992039203643799,,,,,
1,5349,,2.6378989219665527,,,,,
1,5399,,2.6241660118103027,,,,,
1,5449,,3.5125060081481934,,,,,
1,5499,,2.456012725830078,,,,,
1,5549,,3.8565914630889893,,,,,
1,5599,,2.1618645191192627,,,,,
1,5649,,2.1241555213928223,,,,,
1,5699,,1.8392261266708374,,,,,
1,5749,,3.011274814605713,,,,,
1,5799,,1.7697441577911377,,,,,
1,5849,,2.681776762008667,,,,,
1,5899,,5.39051628112793,,,,,
1,5949,,2.7105631828308105,,,,,
1,5999,,2.4238288402557373,,,,,
1,6049,,3.8388092517852783,,,,,
1,6099,,1.3702102899551392,,,,,
1,6149,,2.755333662033081,,,,,
1,6199,,3.3754677772521973,,,,,
1,6249,,2.5307836532592773,,,,,
1,6299,,2.3736939430236816,,,,,
1,6349,,1.9931198358535767,,,,,
1,6399,,1.4984325170516968,,,,,
1,6449,,2.5402207374572754,,,,,
1,6499,,2.3433451652526855,,,,,
1,6549,,2.2715647220611572,,,,,
1,6599,,1.4835960865020752,,,,,
1,6649,,2.336054801940918,,,,,
1,6699,,3.9639015197753906,,,,,
1,6749,,2.430910587310791,,,,,
1,6799,,2.1159443855285645,,,,,
1,6849,,2.3571488857269287,,,,,
1,6899,,3.147761583328247,,,,,
1,6949,,2.0521035194396973,,,,,
1,6999,,2.0861239433288574,,,,,
1,7049,,1.9036239385604858,,,,,
1,7099,,3.163574695587158,,,,,
1,7149,,1.7101973295211792,,,,,
1,7199,,2.133824348449707,,,,,
1,7249,,2.961333751678467,,,,,
1,7299,,2.8030755519866943,,,,,
1,7349,,3.290250778198242,,,,,
1,7399,,1.9574474096298218,,,,,
1,7449,,2.7512946128845215,,,,,
1,7499,,1.673791527748108,,,,,
1,7549,,3.4243874549865723,,,,,
1,7599,,1.906497597694397,,,,,
1,7649,,2.898425340652466,,,,,
1,7667,,,11.693180084228516,0.04806957393884659,25.07282257080078,0.04976028576493263,7.376804828643799
1,7667,2.5103187561035156,,,,,,
2,7699,,2.5187125205993652,,,,,
2,7749,,2.2061734199523926,,,,,
2,7799,,1.737610101699829,,,,,
